tariff.plan,payment.method,sex,age,activation.zone,activation.channel,vas1,vas2,q01.out.ch.peak,q01.out.dur.peak,q01.out.val.peak,q01.out.ch.offpeak,q01.out.dur.offpeak,q01.out.val.offpeak,q01.in.ch.tot,q01.in.dur.tot,q01.ch.sms,q01.ch.cc,q02.out.ch.peak,q02.out.dur.peak,q02.out.val.peak,q02.out.ch.offpeak,q02.out.dur.offpeak,q02.out.val.offpeak,q02.in.ch.tot,q02.in.dur.tot,q02.ch.sms,q02.ch.cc,q03.out.ch.peak,q03.out.dur.peak,q03.out.val.peak,q03.out.ch.offpeak,q03.out.dur.offpeak,q03.out.val.offpeak,q03.in.ch.tot,q03.in.dur.tot,q03.ch.sms,q03.ch.cc,q04.out.ch.peak,q04.out.dur.peak,q04.out.val.peak,q04.out.ch.offpeak,q04.out.dur.offpeak,q04.out.val.offpeak,q04.in.ch.tot,q04.in.dur.tot,q04.ch.sms,q04.ch.cc,q05.out.ch.peak,q05.out.dur.peak,q05.out.val.peak,q05.out.ch.offpeak,q05.out.dur.offpeak,q05.out.val.offpeak,q05.in.ch.tot,q05.in.dur.tot,q05.ch.sms,q05.ch.cc,q06.out.ch.peak,q06.out.dur.peak,q06.out.val.peak,q06.out.ch.offpeak,q06.out.dur.offpeak,q06.out.val.offpeak,q06.in.ch.tot,q06.in.dur.tot,q06.ch.sms,q06.ch.cc,q07.out.ch.peak,q07.out.dur.peak,q07.out.val.peak,q07.out.ch.offpeak,q07.out.dur.offpeak,q07.out.val.offpeak,q07.in.ch.tot,q07.in.dur.tot,q07.ch.sms,q07.ch.cc,q08.out.ch.peak,q08.out.dur.peak,q08.out.val.peak,q08.out.ch.offpeak,q08.out.dur.offpeak,q08.out.val.offpeak,q08.in.ch.tot,q08.in.dur.tot,q08.ch.sms,q08.ch.cc,q09.out.ch.peak,q09.out.dur.peak,q09.out.val.peak,q09.out.ch.offpeak,q09.out.dur.offpeak,q09.out.val.offpeak,q09.in.ch.tot,q09.in.dur.tot,q09.ch.sms,q09.ch.cc,y
8,Carta di Credito,M,16.85,1,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carta di Credito,B,43.11,1,5,Y,N,11,616,4.1337,3,58,0.4576,10,583,0,0,10,489,2.9278,3,136,0.5015,8,284,0,1,28,2523,14.4825,6,482,1.8443,22,799,0,0,15,1769,10.0942,3,47,0.4292,10,529,0,0,27,2979,13.6949,0,0,0,21,801,0,0,50,4456,25.2269,0,0,0,30,2660,1,0,42,3220,19.1952,0,0,0,38,1853,0,0,57,5710,30.4808,0,0,0,44,3014,1,0,19,2191,12.4301,0,0,0,13,439,0,0,953
8,Carta di Credito,M,23.31,1,9,N,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,9987,59.6368,0,0,0,7,71,0,2,73,7436,45.6377,0,0,0,12,339,0,0,122,14929,89.0847,0,0,0,38,2081,0,0,1170
8,Carta di Credito,B,38.59,2,5,N,N,47,3709,30.2375,27,1617,6.481,79,4697,0,0,53,3275,27.7828,19,1190,5.1475,70,4257,0,0,69,3907,33.8677,14,1001,3.7309,80,5432,0,0,34,2414,20.0334,3,109,0.5588,66,5691,0,0,34,1838,12.929,0,0,0,56,3751,0,0,38,2858,18.5651,0,0,0,77,2886,0,0,31,1538,11.0811,0,0,0,59,2372,0,0,24,866,6.9148,0,0,0,39,1534,0,0,20,1359,9.0282,0,0,0,36,4182,0,1,162
3,Domiciliazione Bancaria,M,29.44,2,5,N,N,57,3907,24.8958,53,9516,29.6544,133,5200,0,0,75,6883,41.2329,31,2100,8.537,176,5665,0,0,81,8046,47.512,37,4267,14.6632,123,4643,0,0,46,2974,19.2205,27,1144,5.696,175,8288,0,0,69,2833,20.9108,46,2550,11.2324,153,4595,0,0,54,4443,27.1951,15,315,2.3499,103,5170,0,0,44,2521,16.3278,21,1727,6.81,124,5460,0,2,32,1185,9.0499,18,1019,4.4591,24,506,0,0,30,1645,11.1023,18,846,4.0093,16,132,0,0,2438
8,Carta di Credito,M,14.98,3,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carta di Credito,M,21.8,1,9,N,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,31199,142.5881,0,0,0,167,13334,2,0,492,72605,266.0228,0,0,0,110,8170,23,2,843,113564,286.6744,0,0,0,216,27260,67,1,349,57369,160.9894,0,0,0,208,23566,34,0,405,48252,165.3674,0,0,0,201,22548,15,0,4370
8,Domiciliazione Bancaria,B,34.98,2,5,N,N,15,759,5.2426,2,74,0.3946,54,3336,0,0,14,680,4.7545,1,7,0.1209,31,760,0,0,35,2200,14.3172,5,356,1.4208,62,3797,0,0,46,2554,17.0725,3,277,1.0133,71,3905,0,0,19,1351,8.536,3,74,0.4979,42,3038,0,0,29,1604,10.6953,7,218,1.2767,69,3698,0,0,57,4641,29.0662,0,0,0,114,10745,0,0,28,1017,8.1006,0,0,0,10,1382,0,0,27,1892,12.4807,0,0,0,50,5949,0,0,23
8,Domiciliazione Bancaria,M,18.65,2,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2716,17.1169,0,0,0,38,2055,3,0,52,3403,22.8057,0,0,0,31,2427,2,0,31
7,Bollettino Postale,B,35.6,1,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,223,1.0675,0,0,0,0,0,0,0,314
8,Carta di Credito,M,22,2,9,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1691,10.5238,0,0,0,47,3893,2,0,15,810,5.7001,0,0,0,50,3834,1,0,34,3740,22.6735,0,0,0,54,4369,2,0,28,4558,41.1053,0,0,0,25,1232,6,0,59,14021,74.7375,0,0,0,31,2506,8,0,1180
8,Carta di Credito,M,23.67,4,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,5958,44.894,3,102,0.5691,95,3798,0,2,143,7309,51.906,0,0,0,69,2394,0,0,99,5544,38.6299,0,0,0,73,4463,0,0,126,6408,45.7405,0,0,0,77,3837,0,0,142,6964,50.3447,0,0,0,63,5236,0,0,133,8671,58.1629,0,0,0,44,2523,0,0,97,5068,35.9893,0,0,0,29,1864,0,0,125
6,Carta di Credito,B,33.14,1,7,N,N,77,4116,21.5435,0,0,0,163,9996,0,0,68,4028,20.6092,0,0,0,217,10735,0,0,119,6044,32.7279,0,0,0,222,6228,0,0,143,6803,37.6822,0,0,0,202,7432,0,0,120,6554,34.4611,0,0,0,167,8048,1,0,155,7096,40.1246,0,0,0,135,8215,2,0,156,7060,39.998,0,0,0,107,8217,7,0,196,12434,62.2945,0,0,0,55,5030,5,0,159,8939,46.6965,0,0,0,122,10237,7,0,287
7,Domiciliazione Bancaria,M,43.6,2,7,Y,N,66,5598,32.6829,4,164,0.6399,36,2834,0,0,54,4101,23.0138,2,226,0.7809,32,2342,0,0,50,4102,23.6418,4,169,0.8423,62,5856,0,0,76,5914,27.4187,0,0,0,51,5898,0,0,94,7984,36.7361,0,0,0,81,5892,0,0,56,5852,25.4283,0,0,0,79,6223,0,0,44,4652,20.3546,0,0,0,43,2897,0,0,24,1846,8.2829,0,0,0,35,1899,0,0,66,6074,27.4569,0,0,0,44,2829,0,0,466
7,Domiciliazione Bancaria,B,38.09,1,7,N,Y,13,621,4.3641,28,2529,8.882,45,2762,0,0,18,507,4.3253,22,1716,6.529,21,1000,0,0,13,788,5.005,23,1526,6.2538,87,3386,0,0,40,3038,14.3544,0,0,0,73,2658,0,0,45,3638,17.0111,0,0,0,97,2023,0,0,65,7769,33.1162,0,0,0,86,2785,2,0,50,3270,16.2782,0,0,0,56,2300,2,0,59,3953,19.4239,0,0,0,43,3387,0,1,26,1259,6.8611,0,0,0,22,1605,4,0,2
8,Carta di Credito,F,21.54,3,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2594,15.6657,0,0,0,15,565,0,0,23,1201,8.5283,0,0,0,38,1128,0,0,11,835,5.4145,0,0,0,23,938,0,0,34,2176,14.6612,0,0,0,51,2358,0,0,0
8,Carta di Credito,M,31.67,1,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,220,1.5401,0,0,0,8,150,0,0,6,344,2.3824,0,0,0,21,1154,0,0,2,110,0.77,0,0,0,5,68,0,0,1,18,0.1957,0,0,0,10,635,0,0,4,254,1.7141,0,0,0,13,575,0,0,0,0,0,0,0,0,5,298,0,0,0,0,0,0,0,0,16,2336,0,0,0
7,Carta di Credito,B,24.09,2,5,N,Y,0,0,0,0,0,0,0,0,0,0,112,14586,61.0307,0,0,0,19,3520,0,1,495,68855,284.8126,0,0,0,79,12348,0,0,433,66134,269.4707,0,0,0,118,24973,0,0,444,59787,248.9312,0,0,0,141,17836,0,1,519,72161,325.7676,0,0,0,195,24997,0,0,567,80454,397.993,0,0,0,309,30396,0,0,310,42757,177.3224,0,0,0,156,18161,0,0,442,67325,274.1431,0,0,0,233,27441,0,0,2622
8,Carta di Credito,M,52.19,2,5,N,N,0,0,0,0,0,0,0,0,0,0,10,1715,9.8194,0,0,0,16,382,0,0,66,3931,31.0447,0,0,0,47,3652,0,0,52,5904,35.6185,0,0,0,47,5973,0,0,106,6346,43.4614,0,0,0,76,5290,0,2,48,3352,25.0626,0,0,0,64,6708,0,1,159,23127,137.1565,0,0,0,104,8098,0,3,100,15249,93.818,0,0,0,94,17004,0,2,58,5070,31.9661,0,0,0,85,7586,0,1,0
8,Bollettino Postale,M,19.96,2,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,7691,44.878,0,0,0,31,718,0,0,181,18780,114.9101,0,0,0,104,6161,1,0,163
7,Bollettino Postale,B,24.42,3,5,N,N,0,0,0,0,0,0,0,0,0,0,176,22886,95.8534,0,0,0,192,22039,1,0,486,53328,231.2198,0,0,0,491,45635,0,0,30,4268,17.6029,0,0,0,345,34148,0,0,193,22068,94.8297,0,0,0,334,31083,1,0,502,60810,258.0921,0,0,0,560,50701,0,0,132,12097,54.6401,0,0,0,383,15602,2,0,0,0,0,0,0,0,80,4430,0,0,66,8567,35.9289,0,0,0,268,30891,0,0,1400
8,Carta di Credito,B,20.16,2,9,N,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,105,0.7447,0,0,0,19,722,0,1,52,2082,16.0355,0,0,0,63,3172,0,0,9,438,3.1731,0,0,0,10,672,0,0,33,1651,11.8666,0,0,0,37,2073,0,0,213
7,Bollettino Postale,F,51.9,1,5,Y,N,312,94237,994.7223,183,81769,1041.4369,41,18740,0,2,285,93821,609.069,119,49725,407.203,24,12298,0,0,462,136470,645.5959,73,41776,406.5673,46,25609,8,7,676,166681,997.474,0,0,0,30,28927,1,7,242,70422,837.2185,0,0,0,21,23566,6,0,376,103899,880.0085,0,0,0,27,15530,1,7,654,139305,771.5913,0,0,0,38,16476,2,5,346,109843,730.4198,0,0,0,49,23612,0,2,414,160914,1261.2115,0,0,0,34,16264,0,0,1069
7,Domiciliazione Bancaria,B,16.49,3,5,N,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Bollettino Postale,M,50.03,3,3,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carta di Credito,B,21.9,3,9,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,239,0,0,104,9122,41.7426,0,0,0,48,3220,1,2,204,15843,74.705,0,0,0,112,8090,0,2,822
8,Carta di Credito,F,20.78,1,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,8414,49.3046,1,96,0.2644,59,4870,0,0,115,15113,89.3093,0,0,0,110,9031,0,0,76,10143,59.7143,0,0,0,73,8336,0,0,108,13855,82.1383,0,0,0,103,12036,6,1,709
8,Carta di Credito,F,20.78,3,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,170,1.0778,0,0,0,7,198,0,2,35,8888,49.1502,0,0,0,152,13604,0,0,4,817,4.5996,0,0,0,17,953,0,0,0,0,0,0,0,0,2,16,0,0,0
8,Carta di Credito,M,24.42,3,5,N,N,0,0,0,0,0,0,0,0,0,0,6,237,1.8339,0,0,0,10,197,0,0,9,285,2.3896,0,0,0,10,190,0,0,3,191,1.2886,0,0,0,8,122,0,0,0,0,0,0,0,0,13,161,0,0,10,433,3.2511,0,0,0,10,274,0,0,14,988,6.5068,0,0,0,19,168,0,0,7,411,2.8292,0,0,0,1,6,0,0,2,61,0.5196,0,0,0,4,46,0,0,23
7,Carta di Credito,B,30.13,3,5,N,Y,435,39195,178.1306,0,0,0,243,25388,30,1,541,53423,229.2841,0,0,0,291,31321,41,2,718,78767,322.1508,0,0,0,328,39096,28,0,701,68823,295.3772,0,0,0,380,38302,26,0,583,62321,255.0383,0,0,0,351,30510,24,0,703,79887,341.8005,0,0,0,399,32855,14,0,805,82517,362.1855,0,0,0,429,39670,6,1,350,38347,164.287,0,0,0,254,22817,5,0,685,72202,313.6747,0,0,0,302,26068,4,0,2584
8,Domiciliazione Bancaria,M,35.31,1,5,Y,N,1,39,0.6389,7,379,1.3593,15,391,4,3,2,61,1.0438,4,194,0.7385,3,62,0,0,10,275,3.2423,3,73,0.4323,7,250,3,5,8,435,3.0543,0,0,0,3,57,1,0,5,237,1.7312,0,0,0,6,112,0,3,5,154,1.3051,0,0,0,3,186,3,2,11,825,5.0618,0,0,0,3,376,5,1,12,618,2.7222,0,0,0,4,210,3,0,7,239,1.3965,0,0,0,6,1560,2,1,0
7,Domiciliazione Bancaria,F,24.59,2,5,Y,N,0,0,0,0,0,0,0,0,0,0,129,16051,67.8702,0,0,0,84,12912,0,1,150,17068,73.2909,0,0,0,95,6361,0,1,135,14254,62.2821,0,0,0,79,9848,0,0,121,16941,70.0682,0,0,0,98,15302,0,0,124,15923,66.9215,0,0,0,73,10796,0,0,153,16297,71.0836,0,0,0,151,24409,0,0,70,7258,31.6888,0,0,0,132,21840,0,0,176,23051,96.4096,0,0,0,211,35796,0,0,1551
3,Domiciliazione Bancaria,B,35.77,2,5,N,N,49,2392,16.6965,13,387,2.3261,59,1692,0,0,70,2233,17.9908,14,753,3.3601,45,993,0,0,145,4961,38.9847,6,109,0.7458,67,2179,0,0,48,1739,13.4191,6,224,1.1899,65,1187,0,1,96,3262,25.7857,8,858,3.0068,74,1593,0,0,80,2578,20.7027,4,106,0.6828,62,2150,4,0,120,5973,41.4539,13,783,3.3838,94,2772,0,2,53,4408,26.9193,13,1784,5.7719,35,1253,0,0,42,1323,10.7769,0,0,0,30,1434,0,2,5114
8,Domiciliazione Bancaria,M,39.57,2,5,N,N,16,1586,9.3701,7,614,2.2827,24,320,0,0,24,1853,11.4937,6,218,1.1739,47,1320,0,0,34,2666,16.4817,18,917,4.0862,70,1494,0,0,27,2045,12.7374,19,1491,5.7507,43,803,0,0,56,5718,33.6033,5,138,0.8671,33,1309,0,0,32,3597,21.0926,10,394,1.8846,28,507,0,0,10,530,3.6111,9,506,2.2161,61,1167,0,0,47,4979,30.2272,5,138,0.8671,36,1028,0,4,42,4226,25.9886,0,0,0,22,1443,0,0,281
8,Domiciliazione Bancaria,B,42.72,4,5,N,N,40,3202,20.5359,0,0,0,50,5789,0,1,46,3963,25.0549,0,0,0,37,6093,0,1,45,5361,32.0121,0,0,0,75,10082,0,1,29,2511,15.7571,0,0,0,19,3566,0,0,19,3337,19.0583,0,0,0,33,2714,0,0,10,697,4.6037,0,0,0,34,2968,0,0,20,2122,12.9372,0,0,0,25,3522,0,0,8,533,3.5568,0,0,0,2,42,0,0,31,3275,19.8764,0,0,0,33,6829,0,0,80
7,Carta di Credito,M,43.11,3,5,Y,N,135,13138,107.423,123,13817,53.7735,221,13454,16,1,156,13657,105.5721,166,17084,60.2829,340,19979,0,0,98,9637,74.3083,97,11529,38.7492,181,7733,3,0,59,7012,42.43,69,9239,30.4049,175,5336,0,1,175,20014,85.4545,0,0,0,72,4098,1,0,199,36690,144.517,0,0,0,126,6154,33,0,194,32363,129.5857,0,0,0,97,4763,13,0,185,29946,120.5147,0,0,0,91,7719,26,0,130,24413,95.7,0,0,0,66,6812,135,0,1100
7,Carta di Credito,B,15.63,3,8,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carta di Credito,B,34.06,1,5,N,N,64,9938,56.6243,25,1831,7.2356,336,16470,35,0,54,5158,30.362,9,795,2.9495,197,14109,1,0,66,11048,60.5675,37,2804,10.8451,272,24002,20,0,60,8624,47.9468,23,2149,7.7324,249,19663,11,0,74,12514,68.4125,10,1393,4.5727,225,14900,19,1,101,10851,65.9216,0,0,0,312,16509,8,1,89,11476,67.989,0,0,0,244,16832,6,0,70,5045,33.076,0,0,0,116,7492,2,0,132,14743,88.7511,0,0,0,171,22510,34,0,2318
7,Domiciliazione Bancaria,M,23.9,3,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,20485,79.9444,0,0,0,15,2065,0,0,8346
8,Carta di Credito,M,23.93,2,5,N,N,0,0,0,0,0,0,0,0,0,0,2,27,0.345,0,0,0,0,0,0,0,15,461,4.1683,0,0,0,42,2270,2,0,27,1788,12.0639,0,0,0,37,1922,0,0,20,1948,12.0464,0,0,0,49,2880,0,0,23,1532,10.2243,0,0,0,48,3519,0,0,83,4132,29.6389,0,0,0,35,2464,0,0,66,4363,43.2734,0,0,0,11,739,0,0,37,2200,21.0265,0,0,0,27,1580,0,0,0
